[2-1](0,1):[100000]
[2-2](0,2):[010000]
[2-3](0,3):[001000]
[2-4](0,4):[000100]
[2-5](0,5):[000010]
[2-6](0,6):[000001]
[3-1(12)](0,1,2):[210000]
[3-2](0,1,3):[111000]
[3-3](0,1,4):[101100]
[3-4](0,1,5):[100110]
[3-5](0,1,6):[100011]
[3-6(12)](0,2,4):[020100]
[3-7](0,2,5):[011010]
[3-8](0,2,6):[010101]
[3-9(12)](0,2,7):[010020]
[3-10(12)](0,3,6):[002001]
[3-11](0,3,7):[001110]
[3-12(4)](0,4,8):[000300]
[4-1(12)](0,1,2,3):[321000]
[4-2](0,1,2,4):[221100]
[4-3](0,1,3,4):[212100]
[4-4](0,1,2,5):[211110]
[4-5](0,1,2,6):[210111]
[4-6(12)](0,1,2,7):[210021]
[4-7(12)](0,1,4,5):[201210]
[4-8(12)](0,1,5,6):[200121]
[4-9(6)](0,1,6,7):[200022]
[4-10(12)](0,2,3,5):[122010]
[4-11](0,1,3,5):[121110]
[4-12](0,2,3,6):[112101]
[4-13](0,1,3,6):[112011]
[4-14](0,2,3,7):[111120]
[4-Z15](0,1,4,6):[111111]
[4-16](0,1,5,7):[110121]
[4-17(12)](0,3,4,7):[102210]
[4-18](0,1,4,7):[102111]
[4-19](0,1,4,8):[101310]
[4-20(12)](0,1,5,8):[101220]
[4-21(12)](0,2,4,6):[030201]
[4-22](0,2,4,7):[021120]
[4-23(12)](0,2,5,7):[021030]
[4-24(12)](0,2,4,8):[020301]
[4-25(6)](0,2,6,8):[020202]
[4-26(12)](0,3,5,8):[012120]
[4-27](0,2,5,8):[012111]
[4-28(3)](0,3,6,9):[004002]
[4-Z29](0,1,3,7):[111111]
[5-1](0,1,2,3,4):[432100]
[5-2](0,1,2,3,5):[332110]
[5-3](0,1,2,4,5):[322210]
[5-4](0,1,2,3,6):[322111]
[5-5](0,1,2,3,7):[321121]
[5-6](0,1,2,5,6):[311221]
[5-7](0,1,2,6,7):[310132]
[5-8](0,2,3,4,6):[232201]
[5-9](0,1,2,4,6):[231211]
[5-10](0,1,3,4,6):[223111]
[5-11](0,2,3,4,7):[222220]
[5-Z12](0,1,3,5,6):[222121]
[5-13](0,1,2,4,8):[221311]
[5-14](0,1,2,5,7):[221131]
[5-15](0,1,2,6,8):[220222]
[5-16](0,1,3,4,7):[213211]
[5-Z17](0,1,3,4,8):[212320]
[5-Z18](0,1,4,5,7):[212221]
[5-19](0,1,3,6,7):[212122]
[5-20](0,1,3,7,8):[211231]
[5-21](0,1,4,5,8):[202420]
[5-22](0,1,4,7,8):[202321]
[5-23](0,2,3,5,7):[132130]
[5-24](0,1,3,5,7):[131221]
[5-25](0,2,3,5,8):[123121]
[5-26](0,2,4,5,8):[122311]
[5-27](0,1,3,5,8):[122230]
[5-28](0,2,3,6,8):[122212]
[5-29](0,1,3,6,8):[122131]
[5-30](0,1,4,6,8):[121321]
[5-31](0,1,3,6,9):[114112]
[5-32](0,1,4,6,9):[113221]
[5-33](0,2,4,6,8):[040402]
[5-34](0,2,4,6,9):[032221]
[5-35](0,2,4,7,9):[032140]
[5-Z36](0,1,2,4,7):[222121]
[5-Z37](0,3,4,5,8):[212320]
[5-Z38](0,1,2,5,8):[212221]
[6-1(12)](0,1,2,3,4,5):[543210]
[6-2](0,1,2,3,4,6):[443211]
[6-Z3](0,1,2,3,5,6):[433221]
[6-Z4](0,1,2,4,5,6):[432321]
[6-5](0,1,2,3,6,7):[422232]
[6-Z6(12)](0,1,2,5,6,7):[421242]
[6-7(6)](0,1,2,6,7,8):[420243]
[6-8(12)](0,2,3,4,5,7):[343230]
[6-9](0,1,2,3,5,7):[342231]
[6-Z10](0,1,3,4,5,7):[333321]
[6-Z11](0,1,2,4,5,7):[333231]
[6-Z12](0,1,2,4,6,7):[332232]
[6-Z13(12)](0,1,3,4,6,7):[324222]
[6-14](0,1,3,4,5,8):[323430]
[6-15](0,1,2,4,5,8):[323421]
[6-16](0,1,4,5,6,8):[322431]
[6-Z17](0,1,2,4,7,8):[322332]
[6-18](0,1,2,5,7,8):[322242]
[6-Z19](0,1,3,4,7,8):[313431]
[6-20(4)](0,1,4,5,8,9):[303630]
[6-21](0,2,3,4,6,8):[242412]
[6-22](0,1,2,4,6,8):[241422]
[6-Z23(12)](0,2,3,5,6,8):[234222]
[6-Z24](0,1,3,4,6,8):[233331]
[6-Z25](0,1,3,5,6,8):[233241]
[6-Z26(12)](0,1,3,5,7,8):[232341]
[6-27](0,1,3,4,6,9):[225222]
[6-Z28(12)](0,1,3,5,6,9):[224322]
[6-Z29(12)](0,1,3,6,8,9):[224232]
[6-30(12)](0,1,3,6,7,9):[224223]
[6-31](0,1,3,5,8,9):[223431]
[6-32(12)](0,2,4,5,7,9):[143250]
[6-33](0,2,3,5,7,9):[143241]
[6-34](0,1,3,5,7,9):[142422]
[6-35(12)](0,2,4,6,8,10):[060603]
[6-Z36](0,1,2,3,4,7):[433221]
[6-Z37(12)](0,1,2,3,4,8):[432321]
[6-Z38(12)](0,1,2,3,7,8):[421242]
[6-Z39](0,2,3,4,5,8):[333321]
[6-Z40](0,1,2,3,5,8):[333231]
[6-Z41](0,1,2,3,6,8):[332232]
[6-Z42(12)](0,1,2,3,6,9):[324222]
[6-Z43](0,1,2,5,6,8):[322332]
[6-Z44](0,1,2,5,6,9):[313431]
[6-Z45(12)](0,2,3,4,6,9):[234222]
[6-Z46](0,1,2,4,6,9):[233331]
[6-Z47](0,1,2,4,7,9):[233241]
[6-Z48(12)](0,1,2,5,7,9):[232341]
[6-Z49(12)](0,1,3,4,7,9):[224322]
[6-Z50(12)](0,1,4,6,7,9):[224232]
[7-1](0,1,2,3,4,5,6):[654321]
[7-2](0,1,2,3,4,5,7):[554331]
[7-3](0,1,2,3,4,5,8):[544431]
[7-4](0,1,2,3,4,6,7):[544332]
[7-5](0,1,2,3,5,6,7):[543342]
[7-6](0,1,2,3,4,7,8):[533442]
[7-7](0,1,2,3,6,7,8):[532353]
[7-8](0,2,3,4,5,6,8):[454422]
[7-9](0,1,2,3,4,6,8):[453432]
[7-10](0,1,2,3,4,6,9):[445332]
[7-11](0,1,3,4,5,6,8):[444441]
[7-Z12](0,1,2,3,4,7,9):[444342]
[7-13](0,1,2,4,5,6,8):[443532]
[7-14](0,1,2,3,5,7,8):[443352]
[7-15](0,1,2,4,6,7,8):[442443]
[7-16](0,1,2,3,5,6,9):[435432]
